date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
12:41:54	69/69	---MCZ	200	added ('OK')	text/plain	date:Wed,%2014%20Apr%202021%2010:41:55%20GMT	https://www.nayrathemes.com/robots.txt		(from )
12:42:11	139302/139302	---MCZ	200	added ('OK')	text/html	date:Wed,%2014%20Apr%202021%2010:42:11%20GMT	https://www.nayrathemes.com/demo/pro/hantus/	C:/Mis%20lugares%20Web/Hantus/www.nayrathemes.com/demo/pro/hantus/index.html	(from )
12:42:12	51338/51338	---MCZ	200	added ('OK')	text/css	etag:W/%224083861-c88a-5bbf1a9285772%22	https://www.nayrathemes.com/demo/pro/hantus/wp-includes/css/dist/block-library/style.min.css?ver=5.6.2	C:/Mis%20lugares%20Web/Hantus/www.nayrathemes.com/demo/pro/hantus/wp-includes/css/dist/block-library/style.min4c7e.css	(from https://www.nayrathemes.com/demo/pro/hantus/)
12:42:13	776/776	---MC-	200	added ('OK')	application/rss+xml	etag:%22927b41949b771b75cc9240ebc8d38d91%22	https://www.nayrathemes.com/demo/pro/hantus/comments/feed/	C:/Mis%20lugares%20Web/Hantus/www.nayrathemes.com/demo/pro/hantus/comments/feed/index.html	(from https://www.nayrathemes.com/demo/pro/hantus/)
12:42:13	13790/13790	---MC-	200	added ('OK')	application/rss+xml	etag:%2222fdbae7c0a62eb0342c9366dd6a738e%22	https://www.nayrathemes.com/demo/pro/hantus/feed/	C:/Mis%20lugares%20Web/Hantus/www.nayrathemes.com/demo/pro/hantus/feed/index.html	(from https://www.nayrathemes.com/demo/pro/hantus/)
12:42:13	2967/2967	---MCZ	200	added ('OK')	text/css	etag:W/%22408d61b-b97-5b6a61fe16dd7%22	https://www.nayrathemes.com/demo/pro/hantus/wp-content/plugins/woocommerce/packages/woocommerce-blocks/build/vendors-style.css?ver=3.8.1	C:/Mis%20lugares%20Web/Hantus/www.nayrathemes.com/demo/pro/hantus/wp-content/plugins/woocommerce/packages/woocommerce-blocks/build/vendors-style7e2e.css	(from https://www.nayrathemes.com/demo/pro/hantus/)
12:42:14	168313/168313	---MCZ	200	added ('OK')	text/css	etag:W/%22408d5cd-29179-5b6a61fda3242%22	https://www.nayrathemes.com/demo/pro/hantus/wp-content/plugins/woocommerce/packages/woocommerce-blocks/build/style.css?ver=3.8.1	C:/Mis%20lugares%20Web/Hantus/www.nayrathemes.com/demo/pro/hantus/wp-content/plugins/woocommerce/packages/woocommerce-blocks/build/style7e2e.css	(from https://www.nayrathemes.com/demo/pro/hantus/)
12:42:15	30591/30591	---MCZ	200	added ('OK')	text/css	etag:W/%224084069-777f-5b6a6276d7fdd%22	https://www.nayrathemes.com/demo/pro/hantus/wp-content/plugins/contact-widgets/assets/css/font-awesome.min.css?ver=4.7.0	C:/Mis%20lugares%20Web/Hantus/www.nayrathemes.com/demo/pro/hantus/wp-content/plugins/contact-widgets/assets/css/font-awesome.min1849.css	(from https://www.nayrathemes.com/demo/pro/hantus/)
12:42:16	1920/1920	---MCZ	200	added ('OK')	text/css	etag:W/%2240804fe-780-5b6a621151460%22	https://www.nayrathemes.com/demo/pro/hantus/wp-content/plugins/contact-form-7/includes/css/styles.css?ver=5.3.1	C:/Mis%20lugares%20Web/Hantus/www.nayrathemes.com/demo/pro/hantus/wp-content/plugins/contact-form-7/includes/css/styles7923.css	(from https://www.nayrathemes.com/demo/pro/hantus/)
12:42:17	39820/39820	---MCZ	200	added ('OK')	text/css	etag:W/%224082f87-9b8c-58ff9ab635e35%22	https://www.nayrathemes.com/demo/pro/hantus/wp-content/plugins/revslider/public/assets/css/settings.css?ver=5.4.8.3	C:/Mis%20lugares%20Web/Hantus/www.nayrathemes.com/demo/pro/hantus/wp-content/plugins/revslider/public/assets/css/settingsf542.css	(from https://www.nayrathemes.com/demo/pro/hantus/)
12:42:18	17639/17639	---MCZ	200	added ('OK')	text/css	etag:W/%22408d79a-44e7-5b6a6200f483a%22	https://www.nayrathemes.com/demo/pro/hantus/wp-content/plugins/woocommerce/assets/css/woocommerce-layout.css?ver=4.8.0	C:/Mis%20lugares%20Web/Hantus/www.nayrathemes.com/demo/pro/hantus/wp-content/plugins/woocommerce/assets/css/woocommerce-layout287d.css	(from https://www.nayrathemes.com/demo/pro/hantus/)
